Feature,Correlation
study_hours_per_day,0.7126740135616356
study_to_phone_ratio,0.6632268173796203
break_efficiency_score,0.4912260312190098
academic_engagement_score,0.4698439377013354
stress_focus_balance,0.45398370618034706
focus_score,0.42939977857122125
sleep_hours,0.35652699646876024
attendance_percentage,0.18097964797407176
healthy_lifestyle_score,0.1800282034848001
coffee_intake_mg,0.012061602874330316
youtube_hours,0.0062084745807223325
social_media_hours,0.0030658630317579702
gender_encoded,0.0016306023300875366
gaming_hours,0.00056379095794693
exercise_minutes,-0.0001834160906629339
assignments_completed,-0.0025147925703540813
breaks_per_day,-0.0032675774250793387
age,-0.005949127274222921
caffeine_stress_interaction,-0.1265841418723718
digital_distraction_score,-0.14738619737543732
stress_level,-0.20784200911801862
phone_usage_hours,-0.22190320717379763
