Feature,MI_Score
study_to_phone_ratio,0.3849613264466658
study_hours_per_day,0.35963068328426573
break_efficiency_score,0.21252014040584566
academic_engagement_score,0.13154316222285445
stress_focus_balance,0.11684185797660085
focus_score,0.09752752672594056
sleep_hours,0.07463758465970116
phone_usage_hours,0.04097293436791283
stress_level,0.026049184040848328
healthy_lifestyle_score,0.024897146786560853
attendance_percentage,0.01462490569916941
caffeine_stress_interaction,0.014235929899051314
digital_distraction_score,0.013443558731156102
breaks_per_day,0.010340971548445488
youtube_hours,0.0076568956668845445
social_media_hours,0.0038493245684838584
gender_encoded,0.001534876655226336
exercise_minutes,0.0014805498584822274
age,0.0
coffee_intake_mg,0.0
gaming_hours,0.0
assignments_completed,0.0
