,low_productivity_mean,high_productivity_mean,delta_high_minus_low
attendance_percentage,83.65978588083273,87.20412235224872,3.5443364714159884
focus_score,3.275825537275391,6.64401581992353,3.3681902826481394
exercise_minutes,28.984,30.824,1.8399999999999999
study_hours_per_day,3.3932774488625976,4.643823473275268,1.2505460244126705
sleep_hours,6.804039370559834,7.373569549726673,0.569530179166839
gaming_hours,0.5013423268059719,0.4158291161760271,-0.08551321062994482
youtube_hours,0.8365969932685288,0.7406608131730433,-0.09593618009548543
social_media_hours,1.4298128122058384,1.0812687448791736,-0.3485440673266649
stress_level,5.1737818666135125,4.658907012539014,-0.5148748540744981
phone_usage_hours,2.3894284706975624,1.6252571850102877,-0.7641712856872747
